"행정구역","2026년04월_계_총인구수","2026년04월_계_연령구간인구수","2026년04월_계_0~9세","2026년04월_계_10~19세","2026년04월_계_20~29세","2026년04월_계_30~39세","2026년04월_계_40~49세","2026년04월_계_50~59세","2026년04월_계_60~69세","2026년04월_계_70~79세","2026년04월_계_80~89세","2026년04월_계_90~99세","2026년04월_계_100세 이상","2026년04월_남_총인구수","2026년04월_남_연령구간인구수","2026년04월_남_0~9세","2026년04월_남_10~19세","2026년04월_남_20~29세","2026년04월_남_30~39세","2026년04월_남_40~49세","2026년04월_남_50~59세","2026년04월_남_60~69세","2026년04월_남_70~79세","2026년04월_남_80~89세","2026년04월_남_90~99세","2026년04월_남_100세 이상","2026년04월_여_총인구수","2026년04월_여_연령구간인구수","2026년04월_여_0~9세","2026년04월_여_10~19세","2026년04월_여_20~29세","2026년04월_여_30~39세","2026년04월_여_40~49세","2026년04월_여_50~59세","2026년04월_여_60~69세","2026년04월_여_70~79세","2026년04월_여_80~89세","2026년04월_여_90~99세","2026년04월_여_100세 이상"
"서울특별시  (1100000000)","9,298,673","9,298,673","455,648","719,027","1,239,522","1,467,418","1,357,334","1,464,286","1,318,622","845,655","371,689","58,015","1,457","4,477,462","4,477,462","234,006","366,300","578,643","732,780","670,811","719,694","625,746","380,725","151,718","16,725","314","4,821,211","4,821,211","221,642","352,727","660,879","734,638","686,523","744,592","692,876","464,930","219,971","41,290","1,143"
"서울특별시 종로구 (1111000000)","136,716","136,716","5,013","9,186","20,011","19,921","18,033","22,594","21,009","12,787","6,868","1,260","34","65,420","65,420","2,570","4,470","9,267","9,927","8,635","11,066","10,442","5,921","2,713","397","12","71,296","71,296","2,443","4,716","10,744","9,994","9,398","11,528","10,567","6,866","4,155","863","22"
"서울특별시 중구 (1114000000)","117,760","117,760","4,846","5,844","15,534","21,258","16,116","17,756","17,822","11,697","5,822","1,043","22","56,561","56,561","2,475","2,914","6,917","10,593","8,066","8,933","8,787","5,381","2,212","277","6","61,199","61,199","2,371","2,930","8,617","10,665","8,050","8,823","9,035","6,316","3,610","766","16"
"서울특별시 용산구 (1117000000)","200,187","200,187","9,754","12,658","25,809","37,005","28,857","31,536","27,994","16,350","8,522","1,644","58","95,104","95,104","4,943","6,433","11,390","17,973","14,229","15,289","13,674","7,400","3,251","503","19","105,083","105,083","4,811","6,225","14,419","19,032","14,628","16,247","14,320","8,950","5,271","1,141","39"
"서울특별시 성동구 (1120000000)","274,917","274,917","15,631","17,309","37,546","48,384","39,477","42,728","38,508","22,737","10,910","1,658","29","132,590","132,590","8,022","8,479","17,897","23,750","19,818","20,876","18,823","10,250","4,226","443","6","142,327","142,327","7,609","8,830","19,649","24,634","19,659","21,852","19,685","12,487","6,684","1,215","23"
"서울특별시 광진구 (1121500000)","331,029","331,029","13,339","22,920","54,349","56,926","45,871","50,720","45,938","27,153","11,891","1,877","45","158,364","158,364","6,823","11,548","24,795","28,268","22,391","24,623","22,088","12,317","4,966","532","13","172,665","172,665","6,516","11,372","29,554","28,658","23,480","26,097","23,850","14,836","6,925","1,345","32"
"서울특별시 동대문구 (1123000000)","351,656","351,656","17,796","23,432","55,527","55,627","48,250","52,672","48,980","31,849","15,260","2,211","52","171,281","171,281","9,093","11,812","25,939","28,205","24,668","26,458","23,959","14,414","6,058","663","12","180,375","180,375","8,703","11,620","29,588","27,422","23,582","26,214","25,021","17,435","9,202","1,548","40"
"서울특별시 중랑구 (1126000000)","376,570","376,570","16,266","22,983","44,348","59,098","50,362","61,139","64,451","38,924","16,565","2,373","61","183,773","183,773","8,274","11,803","20,829","30,088","26,204","30,170","31,215","17,835","6,702","643","10","192,797","192,797","7,992","11,180","23,519","29,010","24,158","30,969","33,236","21,089","9,863","1,730","51"
"서울특별시 성북구 (1129000000)","422,452","422,452","21,169","34,252","62,224","56,970","59,173","70,503","58,633","37,872","18,689","2,899","68","201,576","201,576","10,937","17,150","28,914","28,452","29,211","34,541","27,591","16,634","7,305","826","15","220,876","220,876","10,232","17,102","33,310","28,518","29,962","35,962","31,042","21,238","11,384","2,073","53"
"서울특별시 강북구 (1130500000)","278,520","278,520","9,391","17,835","33,732","34,323","35,819","48,392","47,776","32,837","16,205","2,165","45","133,827","133,827","4,781","9,013","15,566","17,982","18,714","23,919","22,755","14,169","6,274","645","9","144,693","144,693","4,610","8,822","18,166","16,341","17,105","24,473","25,021","18,668","9,931","1,520","36"
"서울특별시 도봉구 (1132000000)","298,839","298,839","11,547","21,039","32,676","37,090","39,175","51,584","53,305","33,971","15,947","2,432","73","144,125","144,125","5,986","10,933","15,971","19,043","19,721","24,837","24,943","15,598","6,391","685","17","154,714","154,714","5,561","10,106","16,705","18,047","19,454","26,747","28,362","18,373","9,556","1,747","56"
"서울특별시 노원구 (1135000000)","482,097","482,097","22,628","43,940","60,257","61,403","68,285","83,019","72,371","45,782","20,746","3,580","86","230,465","230,465","11,628","22,693","30,270","31,047","32,735","39,805","33,526","20,162","7,652","931","16","251,632","251,632","11,000","21,247","29,987","30,356","35,550","43,214","38,845","25,620","13,094","2,649","70"
"서울특별시 은평구 (1138000000)","453,550","453,550","19,954","33,224","54,820","66,824","63,826","76,308","69,113","44,876","21,409","3,123","73","214,346","214,346","10,299","16,861","25,433","32,535","31,461","36,716","32,085","19,481","8,515","939","21","239,204","239,204","9,655","16,363","29,387","34,289","32,365","39,592","37,028","25,395","12,894","2,184","52"
"서울특별시 서대문구 (1141000000)","300,395","300,395","14,907","21,896","44,731","45,353","41,794","47,479","41,925","26,180","13,845","2,233","52","141,593","141,593","7,625","10,814","20,240","22,295","20,547","22,952","19,758","11,360","5,309","683","10","158,802","158,802","7,282","11,082","24,491","23,058","21,247","24,527","22,167","14,820","8,536","1,550","42"
"서울특별시 마포구 (1144000000)","356,894","356,894","17,967","25,716","53,961","64,601","54,193","55,740","42,712","26,041","13,632","2,280","51","165,611","165,611","9,225","12,816","23,199","30,299","26,059","26,966","20,127","11,037","5,192","681","10","191,283","191,283","8,742","12,900","30,762","34,302","28,134","28,774","22,585","15,004","8,440","1,599","41"
"서울특별시 양천구 (1147000000)","422,900","422,900","22,422","45,777","45,475","51,656","68,862","71,361","62,387","38,479","14,141","2,273","67","205,756","205,756","11,522","23,619","22,702","25,667","33,100","35,289","29,662","17,918","5,703","564","10","217,144","217,144","10,900","22,158","22,773","25,989","35,762","36,072","32,725","20,561","8,438","1,709","57"
"서울특별시 강서구 (1150000000)","548,716","548,716","26,206","39,839","70,279","96,449","81,260","81,071","78,845","51,344","19,926","3,399","98","261,899","261,899","13,470","20,353","31,176","47,940","40,844","39,744","36,232","23,200","8,027","899","14","286,817","286,817","12,736","19,486","39,103","48,509","40,416","41,327","42,613","28,144","11,899","2,500","84"
"서울특별시 구로구 (1153000000)","382,718","382,718","19,153","26,818","45,288","61,624","54,190","59,694","57,876","39,501","16,284","2,248","42","186,886","186,886","9,840","13,558","21,587","31,444","27,736","29,738","27,485","17,948","6,888","656","6","195,832","195,832","9,313","13,260","23,701","30,180","26,454","29,956","30,391","21,553","9,396","1,592","36"
"서울특별시 금천구 (1154500000)","222,726","222,726","8,122","11,937","31,107","39,993","27,372","34,548","37,089","22,000","9,257","1,277","24","111,777","111,777","4,135","6,066","14,742","21,948","14,795","17,321","18,401","10,157","3,845","361","6","110,949","110,949","3,987","5,871","16,365","18,045","12,577","17,227","18,688","11,843","5,412","916","18"
"서울특별시 영등포구 (1156000000)","371,471","371,471","19,502","22,332","52,085","74,788","51,862","53,713","49,069","31,288","14,458","2,320","54","181,073","181,073","9,932","11,480","23,077","37,492","26,583","27,038","24,331","14,360","6,016","752","12","190,398","190,398","9,570","10,852","29,008","37,296","25,279","26,675","24,738","16,928","8,442","1,568","42"
"서울특별시 동작구 (1159000000)","372,250","372,250","17,119","25,098","59,337","62,130","50,585","56,340","49,938","33,526","15,732","2,393","52","179,606","179,606","8,798","12,858","28,205","31,701","25,442","27,459","23,214","14,619","6,567","731","12","192,644","192,644","8,321","12,240","31,132","30,429","25,143","28,881","26,724","18,907","9,165","1,662","40"
"서울특별시 관악구 (1162000000)","478,144","478,144","13,592","23,866","101,354","94,527","57,306","64,154","59,866","41,889","19,159","2,385","46","240,211","240,211","6,893","12,006","48,406","52,786","31,021","33,039","28,666","18,561","8,076","750","7","237,933","237,933","6,699","11,860","52,948","41,741","26,285","31,115","31,200","23,328","11,083","1,635","39"
"서울특별시 서초구 (1165000000)","414,999","414,999","26,321","45,808","47,403","57,474","71,070","68,642","48,876","33,183","13,897","2,258","67","197,052","197,052","13,624","23,036","22,371","26,697","32,756","33,675","22,880","14,923","6,322","752","16","217,947","217,947","12,697","22,772","25,032","30,777","38,314","34,967","25,996","18,260","7,575","1,506","51"
"서울특별시 강남구 (1168000000)","553,260","553,260","31,530","63,697","61,668","79,568","99,277","88,571","63,442","45,132","17,458","2,823","94","264,081","264,081","16,264","33,129","28,867","37,400","45,237","44,261","29,819","20,158","8,083","842","21","289,179","289,179","15,266","30,568","32,801","42,168","54,040","44,310","33,623","24,974","9,375","1,981","73"
"서울특별시 송파구 (1171000000)","650,447","650,447","39,717","57,719","75,289","107,019","105,090","98,826","88,622","55,190","19,550","3,334","91","311,272","311,272","20,339","29,184","35,100","51,234","50,561","47,838","41,478","25,947","8,631","939","21","339,175","339,175","19,378","28,535","40,189","55,785","54,529","50,988","47,144","29,243","10,919","2,395","70"
"서울특별시 강동구 (1174000000)","499,460","499,460","31,756","43,902","54,712","77,407","81,229","75,196","72,075","45,067","15,516","2,527","73","243,213","243,213","16,508","23,272","25,783","38,014","40,277","37,141","33,805","20,975","6,794","631","13","256,247","256,247","15,248","20,630","28,929","39,393","40,952","38,055","38,270","24,092","8,722","1,896","60"
